名称,级别,所在地区,详情链接,简介,大门票参考,景交费用参考,费用区间参考,开放时间,适宜季节,建议游玩时间,旅游景区级别,详细地址,官方网站,抓取状态,自然保护区等级,森林公园等级,国家风景名胜区,度假区级别,国家级水利风景区,地质公园级别,遗产项目编号,文物保护单位,官网,博物馆等级,地址,湿地级别,中文名,占地面积,主管部门,免票时间,企业官网,开盘时间,所在地址,外文名,成立时间,藏品数量
梵净山,5A,铜仁市,https://www.maigoo.com/citiao/108311.html,梵净山是武陵山脉的主峰，得名于“梵天净土”，是弥勒道场，海拔2572米，总面积为775.14平方千米，其标志性景点有红云金顶、月镜山、万米睡佛、蘑菇石、万卷经书、九龙池、凤凰山等。原始洪荒是梵净山的景观特征，全境山势雄伟、层峦叠嶂，溪流纵横、飞瀑悬泻，一年四季皆美景，云瀑、禅雾、幻影、佛光四大天象奇观，为梵净山添上了神秘的色彩，被誉为“地球绿洲”、“动植物基因库”、“人类的宝贵遗产”。,旺季100元，淡季90元,索道单程70元，观光车5-24元,200~300元,旺季8:00~19:00，淡季8:00~18:00,4~5月,1~2天,5A,贵州省 铜仁市 江口县 太平镇梵净山村,点击查看,成功,国家级(1978年建区),,,,,,1559(世界自然遗产),,,,,,,,,,,,,,,
西湖,5A,杭州市,https://www.maigoo.com/citiao/3752.html,杭州西湖旧称武林水、钱塘湖、西子湖，宋代始称西湖，因秀丽的湖光山色和众多的名胜古迹闻名中外，是中国著名的旅游胜地，被誉为人间天堂。杭州西湖面积达49平方公里，以湖为主体，以植物造景为主，辅以亭、台、楼、阁、廊、榭、桥、汀。景区群山高度都不超过400米，环布在西湖的南、西、北三面，其中的吴山和宝石山象两只手臂伸向市区，构成优美的杭城空间轮廓线。西湖景点有“西湖十景”、“新西湖十景”、“三评西湖十景”之说。,免费,,100元以下,全天,春季，秋季,3~6小时,5A,浙江省 杭州市 西湖区 龙井路1号,,成功,,,1982年,,,,1334(世界文化景观遗产),,,,,,,,,,,,,,,
苏州园林,5A,苏州市,https://www.maigoo.com/citiao/3568.html,苏州园林，即苏州古典园林，溯源于春秋，以私家园林为主，是中国古典建筑的代表流派之一，以拙政园、留园、网师园、环秀山庄为代表的园林建筑风格，曾影响到整个江南城市的建筑格调，其中沧浪亭、狮子林、拙政园和留园并称苏州四大园林。苏州园林是文化意蕴深厚的“文人写意山水园”，运用独特的造园手法，将亭、台、楼、阁、泉、石、花、木组合在一起，在城市中创造出人与自然和谐的居住环境，构成了苏州古典园林的总体特色。,15-80元,,200~300元,7:30-17:30,全年,1~2天,5A,江苏省 苏州市 姑苏区 东北街202号,点击查看,成功,,,,,,,813(世界文化遗产),,,,,,,,,,,,,,,
武汉东湖生态旅游风景区,5A,武汉市,https://www.maigoo.com/citiao/3526.html,东湖风景区以大型自然湖泊为核心，湖光山色为特色，拥有山、林、泽、园、岛、堤、田、湾八种自然风貌，是华中地区大型的风景游览地，总面积为88平方公里。东湖由听涛、磨山、落雁、吹笛、白马和珞洪6个片区组成，区内种植各种树木200多万株，布置亭、台、楼、阁和各种建筑设施70多处，景观景点100多处，12个大小湖泊，120多个岛，112公里湖岸线曲折，环湖34座山峰，一年四季花开不断，尤以春樱、夏荷、秋桂和冬梅最为著名。,免费,,,全天,全年,一天,5A,湖北省 武汉市 武昌区 沿湖大道16号,点击查看,成功,,,1982年,,,,,,,,,,,,,,,,,,,
故宫博物院,5A,东城区,https://www.maigoo.com/citiao/3376.html,北京故宫旧称紫禁城，是明成祖朱棣，迁都北京后修建而成的中国明清两代皇家宫殿，与法国凡尔赛宫、英国白金汉宫、美国白宫、俄罗斯克里姆林宫并称世界五大宫殿。故宫是中国古代宫廷建筑之精华，是世界上现存规模最大、保存最为完整的木质结构古建筑之一。故宫博物院成立于1925年10月10日，是一座综合性博物馆，是中国最大的古代文化艺术博物馆，收藏品包括但不限于明朝、清朝两代皇宫及其收藏，涵盖几乎整个古代中国文明发展史和几乎所有文物门类。,,,,08:30~17:00（周一闭馆）,,1天,5A,,,成功,,,,,,,,国家第一批(明、清),点击查看,国家一级（文物）,北京市 东城区 景山前街4号,,,,,,,,,,,
武当山风景区,5A,十堰市,https://www.maigoo.com/citiao/3522.html,武当山是中国著名的道教圣地，是武当武术的发源地，被誉为“自古无双胜境，天下第一仙山”。武当山绵亘800里，其主峰天柱峰海拔1612米，犹如金铸玉琢的宝柱雄峙苍穹，屹立于群峰之巅，环绕其周围的群山，从四面八方向主峰倾斜，形成独特的“七十二峰朝大顶，二十四涧水长流”的天然奇观。此外，武当山还有36岩，11洞，3潭，9泉，10池，以及“天柱晓晴’、“金殿倒影”、“乌鸦接食”、“香麝跃涧”等奇观。,164元,缆车45元，观光车90元,300~400元,7:30-17:00,全年,2~3天,5A,湖北省 十堰市 丹江口市 太和街道永乐路13号,,成功,,,1982年,,,国家级(2009年第五批)正名,705(世界文化遗产),,,,,,,,,,,,,,,
青岛崂山风景区,5A,青岛市,https://www.maigoo.com/citiao/3650.html,青岛崂山是山东半岛的主要山脉，耸立于黄海之滨，最高峰崂顶海拔1133米，是闻名遐迩的海上名山，素有“海上名山第一”之称，同时也是著名的道教发祥地之一，是道教四小名山、崂山派祖庭、全真派道场。青岛崂山风景区由太清宫景区、仰口景区、南/北九水景区、华楼景区、鹤山景区、巨峰景区组成，兼有山海林泉之胜，囊括奇险秀朴之姿，到处奇峰异石、深谷幽洞、古树名花、飞瀑鸣泉、烟雾升腾，组成一幅雄奇、秀美的立体画卷。,4-12月一票制140元，1-3月一票制90元,观光车票30-70元,200~300元,07:00~17:00,夏季,4~6小时,5A,山东省 青岛市 崂山区 梅岭路29号,点击查看,成功,,国家级,1982年,,,,,,,,,,,,,,,,,,,
黄河壶口瀑布风景名胜区,5A,临汾市等,https://www.maigoo.com/citiao/3659.html,黄河壶口瀑布风景名胜区是以壶口瀑布为中心的风景区，集黄河峡谷、黄土高原、古塬村寨为一体。景区内的壶口瀑布号称为“黄河奇观”，因黄河奔流至此两岸石壁峭立河口收束狭如壶口，故名。壶口瀑布以其特有的侵蚀型、潜伏式黄色瀑布属世界罕见，瀑布上游黄河水面宽300米，在不到500米长距离内，被压缩到20—30米的宽度并从20多米高的陡崖上倾注而泻，形成“千里黄河一壶收”的气概，有水底冒烟、旱地行船，霓虹戏水、山飞海立，晴空洒雨、旱天惊雷、冰峰倒挂、十里龙槽8大奇观。,100元,观光车往返40元,100~200元,08:00~18:00,春秋季,3小时,5A,陕西省 延安市 宜川县 ，山西省临汾市吉县壶口镇,点击查看,成功,,,1988年,,国家级,国家级(2016年第八批)正名,,,,,,,,,,,,,,,,
净月潭,5A,长春市,https://www.maigoo.com/citiao/3562.html,净月潭景区位于吉林省长春市东南部，面积为96.38平方公里，其中水域面积为5.3平方公里，森林覆盖率达到96%以上。净月潭是在1934年由人工修建的第一座为长春市城区供水的水源地，因形似弯月状而得名，与台湾日月潭互为姊妹潭，是“吉林八景”之一。景区内的森林为人工建造，含有30个树种的完整森林生态体系，得天独厚的区位优势，使之成为“喧嚣都市中的一块净土”，有“亚洲第一大人工林海”、“绿海明珠”、“都市氧吧”之美誉，是长春市的生态绿核和城市名片。,30元,观光车20元,100元以下,06:00~21:00,全年,1天,5A,吉林省 长春市 南关区 净月大街5840号,,成功,,国家级,,,国家级,,,,,,,,,,,,,,,,,
洛阳白云山旅游度假区,5A,洛阳市,https://www.maigoo.com/citiao/3495.html,洛阳白云山有海拔1500米以上的山峰37座，最高海拔2216米，奇峰俊秀，白云悠悠，瀑布飞跌，林深谷幽，是集观光旅游、度假避暑、科研实习、寻古探幽为一体的复合型旅游区，被誉为“自然博物馆”、“人间仙境”、“京洛名山”。洛阳白云山总面积168平方公里，有以白云洞、青蛇洞、仙人桥为代表的洞窟景观，以乌曼寺、云岩寺、玉皇阁为代表的人文景观和以云海日出、盛夏避暑、金秋红叶为代表的物候景观。,75元,索道35-100元，乘车卡70元,200~300元,08:00~18:00,6~9月,1~2天,5A,河南省 洛阳市 嵩县 车村镇铜河村,点击查看,成功,,国家级,,,,,,,,,,,,,,,,,,,,
浙江天台山风景区,5A,台州市,https://www.maigoo.com/citiao/3799.html,浙江天台山，因“山有八重，四面如一，顶对三辰，当牛女之分，上应台宿”而得名，以佛教八小名山、佛教天台宗（天台法华宗、法华宗）祖庭、道教南宗祖庭所在地和济公故乡而闻名。景区分为国清景区、赤城景区、佛陇景区、石梁-铜壶景区、华顶景区、百丈-琼台景区、桐坑溪-万年寺景区、桃源景区、清溪景区、开岩-紫凝景区、寒山湖景区、明寒岩景区和九遮山景区，山、岩、洞、瀑各具神韵，与深厚的佛道文化相得益彰，形成了古、幽、清、奇的独特风格。,15-100元,,300~400元,07:00~16:00,4~10月,1~2天,5A,浙江省 台州市 天台县 和合街1号,,成功,,,1988年,,,,,,,,,,,,,,,,,,,
海螺沟冰川森林公园,5A,甘孜藏族自治州,https://www.maigoo.com/citiao/3709.html,海螺沟，即海螺沟冰川森林公园、海螺沟国家地质公园，位于贡嘎山下，海拔高度在2850～6750米之间，以低海拔现代冰川著称于世，以现代冰川、温泉及高山峡谷为主要特色，集观光、休闲、疗养、避暑、生态、科考、探险、登山、摄影等旅游于一体。这里雄、奇、险、峻的大雪山脉奇峰突兀，或巍峨雄壮、气势磅礴，或如刀劈斧砍、危岩嶙峋；壮丽的冰川与森林共生，奇绝无比；雄伟的大冰瀑布宛如从蓝天直泻而下的一道银河，蔚为壮观。,90元,观光车70元，索道135元,200~300元,07:00~15:00,全年,2天,5A,四川省 甘孜藏族自治州 泸定县 磨西镇冰川路83号,点击查看,成功,,国家级,,,,国家级(2002年第二批)正名,,,,,,,,,,,,,,,,
杭州千岛湖风景区,5A,杭州市,https://www.maigoo.com/citiao/3774.html,杭州千岛湖，又名新安江水库，占地982平方公里，是为建新安江水电站拦蓄新安江下游而成的人工湖。千岛湖以1078个岛屿入选中国世界纪录协会，是“杭州-千岛湖-黄山”这条名城、名湖、名山黄金旅游线上的一颗璀璨明珠。景区以千岛、秀水、金腰带为主要特色景观，景区内碧水呈奇，群集处形成众岛似连非连，湖面被分隔得宽窄不同、曲折多变、方向难辨，形成湖上迷宫的特色景观，自然风光旖旎。其主要景点有梅峰岛、猴岛、龙山岛、锁岛、三潭岛等。,旺季130元，淡季110元,梅峰岛缆车往返60元,100~200元,08:00~17:00,4月~10月,1~2天,5A,浙江省 杭州市 淳安县 千岛湖镇梦姑路,,成功,,,,,,,,,,,,,,,,,,,,,,
泰山风景名胜区,5A,泰安市,https://www.maigoo.com/citiao/3647.html,泰山又名岱山、岱宗、岱岳、东岳、泰岳，为五岳之首的东岳，最高海拔1545米，雄峙于鲁中群山之中，自古以来就被视为“直通帝座”的天堂，为百姓崇拜、帝王告祭的神山，有“泰山安，四海皆安”的说法，被誉为天下第一山。泰山风景名胜区规划总面积125平方公里，区内山峦叠翠、云涛波涌、峡谷千姿、幽谷百态，主要的景点有岱庙、普照寺、王母池、关帝庙、红门宫、斗母宫、经石峪、五松亭、碧霞祠、仙人桥、日观峰、南天门、玉皇顶等。,115元,专线车单程35元，索道20-100元,200~300元,全天,春夏秋,1~2天,5A,山东省 泰安市 泰山区 红门路,点击查看,成功,,国家级,1982年,,,"世界级(2006年),国家级(2005年)正名",437(世界文化与自然),,,,,,,,,,,,,,,
深圳观澜湖,5A,深圳市,https://www.maigoo.com/citiao/3423.html,深圳市观澜湖休闲旅游区，国家级旅游景区，坐落于深圳北郊的观澜镇，是一座规模庞大的乡村俱乐部。深圳观澜湖度假村集运动休闲、商务休闲、养生休闲、会议旅游、文化娱乐、美食购物、长居短憩7大功能为一体，其中包括：观澜湖高尔夫球会、网球乡村俱乐部、多家酒店、国际会议中心、生态休憩园，以及丰富的运动、餐饮、文娱、游乐等设施。,,,100元以下,全天,全年,1~2天,5A,广东省 深圳市 龙华新区观澜高尔夫大道1号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
华山风景名胜区,5A,渭南市,https://www.maigoo.com/citiao/3678.html,华山古称“西岳”，雅称“太华山”，为中国五岳之一、中华文明的发祥地、中国名山，海拔2160米。华山雄伟奇峻，山势峻峭，壁立千仞，群峰挺秀，自古有“华山天下险”、“奇险天下第一山”的美誉。春季华山是踏青好去处，夏季华山可看日出和山间瀑布并常伴有云海，秋季华山可登山赏枫叶，冬季华山则冰清玉洁。华山的著名景点多达210余处，包括有凌空架设的长空栈道，三面临空的鹞子翻身，以及在峭壁绝崖上凿出的千尺幢、百尺峡、老君犁沟等。,旺季160元，淡季100元,索道45-140元，大巴车20-40元,400~500元,全天,春夏秋三季,1~2天,5A,陕西省 渭南市 华阴市 华山镇,点击查看,成功,,,1982年,,,国家级（2018年第八批）资格,2001年(世界遗产预选),,,,,,,,,,,,,,,
镜泊湖风景名胜区,5A,牡丹江市,https://www.maigoo.com/citiao/3510.html,镜泊湖位于黑龙江省东南部张广才岭与老爷岭之间，总体规划面积为1726平方公里，由百里长湖景区、火山口原始森林景区、渤海国上京龙泉府遗址景区三部分组成，是中国最大、世界第二大的高山堰塞湖。镜泊湖形成原因是由于万年前火山喷发而形成，景区以湖光山色为主，兼有火山口地下原始森林、地下熔岩隧道等地质奇观，及唐代渤海国遗址为代表的历史人文景观，是可供科研、避暑、游览、观光、度假和文化交流活动的综合性景区。,旺季100元，淡季50元,游船100元,100~200元,8:00~18:00,6~9月,2天,5A,黑龙江 牡丹江市 宁安市 莫延公路,点击查看,成功,,国家级,1982年,,,"世界级(2006年),国家级(2005年)正名",,,,,,,,,,,,,,,,
长影世纪城,5A,长春市,https://www.maigoo.com/citiao/3563.html,长影世纪城位于吉林省长春市南关区，始建于2003年，是集科技、冒险、演艺、观光于一体的综合性旅游区。长影世纪城占地面积100万平方米，分为创新科技、惊险刺激、体验演艺、游艺欣赏四大板块，是一处特效电影主题公园，被誉为“东方好莱坞”、“世界特效电影之都”。长影世纪城主要景点有华夏翱翔、空间迷城、丧尸医院、精灵王国、巨幕影院、星际探险、非常实验室、精灵王国、火山爆发、斗转星移、古堡惊魂、银河宫、英雄秀场、极速穿梭等。,旺季240元，淡季198元,,200~300元,9:00~17:30,春季，夏季，秋季,3~4小时,5A,吉林省 长春市 南关区 永顺路路北,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
